id,name,title,description,priority,assign_date,task_1,task_2,task_3,task_4,completion_date,mood,mood_task_logic
15,Neha,Bug Fixing,Critical issue,low,9/6/2025,Improve UI,Design DB,Prepare PR,Deploy,9/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
16,Supriya,Design UI,Build analytics dashboard,medium,10/8/2025,Write REA,Build charts,Clean data,Test filters,10/11/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
17,Supriya,Optimize Query,Improve performance,low,10/24/2025,Write REA,Design DB,Test filters,Clean data,10/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
18,Vikram,Testing Module,Module-level testing,medium,10/14/2025,Review logs,Write REA,Prepare PR,Test filters,10/15/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
19,Anjali,Testing Module,Security patching,high,9/30/2025,Prepare PR,Design DB,Refactor code,Test filters,10/5/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
20,Supriya,Create Dashboard,Frontend redesign,medium,10/2/2025,Review logs,Clean data,Refactor code,Design DB,10/4/2025,Neutral,Perform regular tasks; Moderate workload management
21,Vikram,Enhance Security,Improve performance,high,9/30/2025,Test filters,Write REA,Build charts,Prepare PR,10/2/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
22,Anjali,Update API,Update backend APIs,medium,10/8/2025,Clean data,Deploy,Improve UI,Design DB,10/11/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
23,Simran,Enhance Security,Frontend redesign,urgent,10/6/2025,Improve UI,Write REA,Refactor code,Build charts,10/10/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
24,Raj,Fix login bug,Data analytics,high,9/16/2025,Improve UI,Design DB,Deploy,Refactor code,9/19/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
25,Priya,Bug Fixing,Build analytics dashboard,high,10/18/2025,Write REA,Review logs,Build charts,Refactor code,10/21/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
26,Raj,Update API,Minor bug fixes,urgent,9/16/2025,Clean data,Prepare PR,Deploy,Test filters,9/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
27,Supriya,Create Report,Improve performance,medium,10/18/2025,Deploy,Write REA,Test filters,Review logs,10/19/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
28,Supriya,Bug Fixing,Update backend APIs,low,10/19/2025,Design DB,Deploy,Build charts,Write REA,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
29,Rohan,Fix login bug,Improve performance,urgent,10/25/2025,Test filters,Design DB,Review logs,Deploy,10/28/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
30,Priya,Design UI,Build analytics dashboard,urgent,10/27/2025,Design DB,Deploy,Prepare PR,Test filters,11/1/2025,Neutral,Perform regular tasks; Moderate workload management
31,Simran,Bug Fixing,Build analytics dashboard,urgent,9/21/2025,Build charts,Clean data,Test filters,Deploy,9/23/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
32,Neha,Analyze Data,Security patching,low,10/15/2025,Clean data,Build charts,Refactor code,Deploy,10/18/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
33,Anjali,Design UI,Module-level testing,low,9/23/2025,Prepare PR,Improve UI,Test filters,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
34,Amit,Optimize Query,Data analytics,high,10/26/2025,Clean data,Build charts,Refactor code,Design DB,10/30/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
35,Karan,Testing Module,Update backend APIs,medium,9/6/2025,Build charts,Improve UI,Prepare PR,Test filters,9/9/2025,Neutral,Perform regular tasks; Moderate workload management
36,Simran,Optimize Query,Update backend APIs,high,10/10/2025,Design DB,Review logs,Improve UI,Clean data,10/12/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
37,Priya,Enhance Security,Update backend APIs,medium,10/30/2025,Build charts,Design DB,Clean data,Review logs,11/1/2025,Neutral,Perform regular tasks; Moderate workload management
38,Vikram,Design UI,Frontend redesign,urgent,9/14/2025,Refactor code,Prepare PR,Test filters,Clean data,9/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
39,Amit,Testing Module,Critical issue,high,10/15/2025,Design DB,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
40,Simran,Update API,Frontend redesign,high,9/21/2025,Build charts,Clean data,Design DB,Improve UI,9/24/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
41,Anjali,Optimize Query,Module-level testing,low,9/21/2025,Clean data,Test filters,Build charts,Prepare PR,9/25/2025,Neutral,Perform regular tasks; Moderate workload management
42,Vikram,Bug Fixing,Critical issue,high,9/28/2025,Refactor code,Improve UI,Prepare PR,Design DB,10/3/2025,Neutral,Perform regular tasks; Moderate workload management
43,Priya,Update API,Update backend APIs,low,9/16/2025,Review logs,Build charts,Improve UI,Clean data,9/20/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
44,Vikram,Analyze Data,Improve performance,urgent,10/15/2025,Prepare PR,Test filters,Deploy,Write REA,10/20/2025,Neutral,Perform regular tasks; Moderate workload management
45,Neha,Analyze Data,Security patching,high,9/3/2025,Write REA,Clean data,Review logs,Improve UI,9/5/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
46,Karan,Update API,Build analytics dashboard,medium,10/2/2025,Prepare PR,Design DB,Build charts,Deploy,10/4/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
47,Karan,Fix login bug,Critical issue,urgent,10/22/2025,Improve UI,Clean data,Test filters,Prepare PR,10/25/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
48,Raj,Create Report,Frontend redesign,low,10/16/2025,Prepare PR,Test filters,Refactor code,Clean data,10/17/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
49,Neha,Enhance Security,Minor bug fixes,low,9/22/2025,Deploy,Test filters,Design DB,Review logs,9/24/2025,Neutral,Perform regular tasks; Moderate workload management
50,Simran,Bug Fixing,Data analytics,urgent,10/17/2025,Improve UI,Build charts,Test filters,Design DB,10/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
51,Supriya,Create Dashboard,Frontend redesign,high,10/12/2025,Review logs,Refactor code,Prepare PR,Build charts,10/17/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
52,Neha,Enhance Security,Reporting module,medium,10/8/2025,Refactor code,Design DB,Build charts,Review logs,10/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
53,Priya,Bug Fixing,Module-level testing,low,10/24/2025,Write REA,Improve UI,Test filters,Prepare PR,10/26/2025,Neutral,Perform regular tasks; Moderate workload management
54,Priya,Fix login bug,Data analytics,high,9/16/2025,Test filters,Review logs,Design DB,Build charts,9/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
55,Priya,Create Report,Frontend redesign,urgent,10/13/2025,Prepare PR,Review logs,Refactor code,Test filters,10/14/2025,Neutral,Perform regular tasks; Moderate workload management
56,Vikram,Enhance Security,Frontend redesign,urgent,9/28/2025,Write REA,Build charts,Prepare PR,Design DB,9/29/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
57,Priya,Enhance Security,Security patching,low,9/3/2025,Design DB,Review logs,Deploy,Test filters,9/8/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
58,Supriya,Create Dashboard,Frontend redesign,urgent,9/25/2025,Improve UI,Clean data,Prepare PR,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
59,Supriya,Create Report,Reporting module,medium,9/22/2025,Deploy,Test filters,Prepare PR,Write REA,9/27/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
60,Raj,Analyze Data,Module-level testing,high,9/24/2025,Review logs,Deploy,Clean data,Test filters,9/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
61,Supriya,Create Report,Build analytics dashboard,high,9/11/2025,Design DB,Clean data,Build charts,Prepare PR,9/12/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
62,Rohan,Create Report,Data analytics,low,9/15/2025,Test filters,Review logs,Improve UI,Prepare PR,9/19/2025,Neutral,Perform regular tasks; Moderate workload management
63,Vikram,Create Dashboard,Critical issue,low,9/21/2025,Clean data,Build charts,Write REA,Review logs,9/26/2025,Neutral,Perform regular tasks; Moderate workload management
64,Rohan,Create Report,Data analytics,urgent,10/6/2025,Build charts,Test filters,Refactor code,Clean data,10/9/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
65,Karan,Create Report,Update backend APIs,medium,9/7/2025,Prepare PR,Design DB,Clean data,Test filters,9/12/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
66,Neha,Update API,Critical issue,medium,9/28/2025,Test filters,Improve UI,Refactor code,Design DB,10/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
67,Karan,Fix login bug,Build analytics dashboard,medium,10/28/2025,Review logs,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
68,Vikram,Create Report,Frontend redesign,medium,10/26/2025,Write REA,Improve UI,Build charts,Design DB,10/29/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
69,Supriya,Optimize Query,Security patching,low,9/26/2025,Write REA,Build charts,Deploy,Refactor code,9/30/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
70,Simran,Optimize Query,Module-level testing,urgent,10/12/2025,Write REA,Clean data,Review logs,Design DB,10/14/2025,Neutral,Perform regular tasks; Moderate workload management
71,Supriya,Create Report,Improve performance,medium,10/21/2025,Design DB,Prepare PR,Write REA,Refactor code,10/25/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
72,Neha,Fix login bug,Frontend redesign,medium,9/14/2025,Write REA,Improve UI,Prepare PR,Test filters,9/18/2025,Neutral,Perform regular tasks; Moderate workload management
73,Priya,Create Report,Frontend redesign,urgent,9/23/2025,Test filters,Review logs,Prepare PR,Clean data,9/28/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
74,Raj,Design UI,Module-level testing,high,10/13/2025,Test filters,Clean data,Improve UI,Review logs,10/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
75,Anjali,Design UI,Security patching,high,10/20/2025,Clean data,Test filters,Review logs,Design DB,10/24/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
76,Vikram,Analyze Data,Update backend APIs,urgent,9/14/2025,Clean data,Design DB,Refactor code,Test filters,9/15/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
77,Supriya,Optimize Query,Frontend redesign,low,10/16/2025,Improve UI,Refactor code,Build charts,Review logs,10/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
78,Amit,Create Dashboard,Minor bug fixes,urgent,10/18/2025,Test filters,Build charts,Review logs,Refactor code,10/20/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
79,Priya,Design UI,Update backend APIs,high,10/30/2025,Deploy,Refactor code,Test filters,Improve UI,11/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
80,Raj,Create Report,Improve performance,medium,10/21/2025,Write REA,Build charts,Improve UI,Test filters,10/22/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
81,Karan,Update API,Data analytics,urgent,10/21/2025,Clean data,Build charts,Review logs,Design DB,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
82,Vikram,Optimize Query,Module-level testing,urgent,9/11/2025,Improve UI,Design DB,Write REA,Clean data,9/15/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
83,Simran,Update API,Critical issue,low,10/27/2025,Write REA,Build charts,Review logs,Design DB,11/1/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
84,Priya,Fix login bug,Update backend APIs,low,10/21/2025,Deploy,Write REA,Build charts,Improve UI,10/24/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
85,Priya,Fix login bug,Critical issue,medium,10/9/2025,Clean data,Improve UI,Design DB,Prepare PR,10/13/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
86,Neha,Create Report,Build analytics dashboard,urgent,9/3/2025,Clean data,Test filters,Design DB,Review logs,9/6/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
87,Amit,Update API,Update backend APIs,medium,10/26/2025,Design DB,Deploy,Build charts,Write REA,10/29/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
88,Supriya,Analyze Data,Minor bug fixes,medium,9/30/2025,Test filters,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
89,Vikram,Bug Fixing,Module-level testing,low,9/7/2025,Refactor code,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
90,Priya,Enhance Security,Update backend APIs,low,9/8/2025,Design DB,Build charts,Refactor code,Write REA,9/11/2025,Neutral,Perform regular tasks; Moderate workload management
91,Karan,Update API,Module-level testing,low,10/3/2025,Design DB,Refactor code,Deploy,Write REA,10/8/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
92,Neha,Bug Fixing,Module-level testing,medium,9/26/2025,Improve UI,Build charts,Write REA,Refactor code,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
93,Neha,Design UI,Frontend redesign,low,10/20/2025,Prepare PR,Review logs,Clean data,Test filters,10/22/2025,Neutral,Perform regular tasks; Moderate workload management
94,Supriya,Enhance Security,Improve performance,high,10/28/2025,Refactor code,Prepare PR,Review logs,Design DB,11/2/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
95,Rohan,Design UI,Improve performance,low,9/2/2025,Review logs,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
96,Supriya,Fix login bug,Improve performance,urgent,9/11/2025,Refactor code,Test filters,Build charts,Design DB,9/14/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
97,Neha,Bug Fixing,Critical issue,medium,10/20/2025,Deploy,Write REA,Clean data,Prepare PR,10/22/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
98,Anjali,Testing Module,Security patching,high,10/29/2025,Build charts,Clean data,Improve UI,Refactor code,11/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
99,Raj,Create Dashboard,Reporting module,medium,9/10/2025,Refactor code,Build charts,Design DB,Write REA,9/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
100,Karan,Optimize Query,Reporting module,high,10/23/2025,Write REA,Design DB,Clean data,Refactor code,10/27/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
62,Rohan,Create Report (copy),Data analytics [updated],low,9/15/2025,Test filters *,Review logs,Improve UI,Prepare PR,9/19/2025,Neutral,Perform regular tasks; Moderate workload management
100,Karan,Optimize Query (copy),Reporting module [updated],high,10/23/2025,Write REA *,Design DB,Clean data,Refactor code,10/27/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
53,Priya,Bug Fixing (copy),Module-level testing [updated],low,10/24/2025,Write REA *,Improve UI,Test filters,Prepare PR,10/26/2025,Neutral,Perform regular tasks; Moderate workload management
56,Vikram,Enhance Security (copy),Frontend redesign [updated],urgent,9/28/2025,Write REA *,Build charts,Prepare PR,Design DB,9/29/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
10,Vikram,Enhance Security (copy),Module-level testing [updated],low,10/28/2025,Deploy *,Prepare PR,Refactor code,Test filters,10/31/2025,Neutral,Perform regular tasks; Moderate workload management
49,Neha,Enhance Security (copy),Minor bug fixes [updated],low,9/22/2025,Deploy *,Test filters,Design DB,Review logs,9/24/2025,Neutral,Perform regular tasks; Moderate workload management
94,Supriya,Enhance Security (copy),Improve performance [updated],high,10/28/2025,Refactor code *,Prepare PR,Review logs,Design DB,11/2/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
23,Simran,Enhance Security (copy),Frontend redesign [updated],urgent,10/6/2025,Improve UI *,Write REA,Refactor code,Build charts,10/10/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
31,Simran,Bug Fixing (copy),Build analytics dashboard [updated],urgent,9/21/2025,Build charts *,Clean data,Test filters,Deploy,9/23/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
43,Priya,Update API (copy),Update backend APIs [updated],low,9/16/2025,Review logs *,Build charts,Improve UI,Clean data,9/20/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
74,Raj,Design UI (copy),Module-level testing [updated],high,10/13/2025,Test filters *,Clean data,Improve UI,Review logs,10/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
71,Supriya,Create Report (copy),Improve performance [updated],medium,10/21/2025,Design DB *,Prepare PR,Write REA,Refactor code,10/25/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
26,Raj,Update API (copy),Minor bug fixes [updated],urgent,9/16/2025,Clean data *,Prepare PR,Deploy,Test filters,9/19/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
95,Rohan,Design UI (copy),Improve performance [updated],low,9/2/2025,Review logs *,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
21,Vikram,Enhance Security (copy),Improve performance [updated],high,9/30/2025,Test filters *,Write REA,Build charts,Prepare PR,10/2/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
72,Neha,Fix login bug (copy),Frontend redesign [updated],medium,9/14/2025,Write REA *,Improve UI,Prepare PR,Test filters,9/18/2025,Neutral,Perform regular tasks; Moderate workload management
71,Supriya,Create Report (copy),Improve performance [updated],medium,10/21/2025,Design DB *,Prepare PR,Write REA,Refactor code,10/25/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
44,Vikram,Analyze Data (copy),Improve performance [updated],urgent,10/15/2025,Prepare PR *,Test filters,Deploy,Write REA,10/20/2025,Neutral,Perform regular tasks; Moderate workload management
38,Vikram,Design UI (copy),Frontend redesign [updated],urgent,9/14/2025,Refactor code *,Prepare PR,Test filters,Clean data,9/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
11,Raj,Enhance Security (copy),Module-level testing [updated],urgent,9/25/2025,Design DB *,Improve UI,Prepare PR,Clean data,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
49,Neha,Enhance Security (copy),Minor bug fixes [updated],low,9/22/2025,Deploy *,Test filters,Design DB,Review logs,9/24/2025,Neutral,Perform regular tasks; Moderate workload management
3,Simran,Testing Module (copy),Security patching [updated],medium,10/23/2025,Prepare PR *,Clean data,Test filters,Review logs,10/24/2025,Neutral,Perform regular tasks; Moderate workload management
44,Vikram,Analyze Data (copy),Improve performance [updated],urgent,10/15/2025,Prepare PR *,Test filters,Deploy,Write REA,10/20/2025,Neutral,Perform regular tasks; Moderate workload management
74,Raj,Design UI (copy),Module-level testing [updated],high,10/13/2025,Test filters *,Clean data,Improve UI,Review logs,10/17/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
9,Vikram,Design UI (copy),Data analytics [updated],medium,10/25/2025,Review logs *,Prepare PR,Deploy,Write REA,10/26/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
88,Supriya,Analyze Data (copy),Minor bug fixes [updated],medium,9/30/2025,Test filters *,Prepare PR,Clean data,Write REA,10/3/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
66,Neha,Update API (copy),Critical issue [updated],medium,9/28/2025,Test filters *,Improve UI,Refactor code,Design DB,10/2/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
58,Supriya,Create Dashboard (copy),Frontend redesign [updated],urgent,9/25/2025,Improve UI *,Clean data,Prepare PR,Review logs,9/28/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
81,Karan,Update API (copy),Data analytics [updated],urgent,10/21/2025,Clean data *,Build charts,Review logs,Design DB,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
7,Karan,Update API (copy),Build analytics dashboard [updated],urgent,9/4/2025,Review logs *,Write REA,Improve UI,Design DB,9/5/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
42,Vikram,Bug Fixing (copy),Critical issue [updated],high,9/28/2025,Refactor code *,Improve UI,Prepare PR,Design DB,10/3/2025,Neutral,Perform regular tasks; Moderate workload management
81,Karan,Update API (copy),Data analytics [updated],urgent,10/21/2025,Clean data *,Build charts,Review logs,Design DB,10/23/2025,Neutral,Perform regular tasks; Moderate workload management
52,Neha,Enhance Security (copy),Reporting module [updated],medium,10/8/2025,Refactor code *,Design DB,Build charts,Review logs,10/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
39,Amit,Testing Module (copy),Critical issue [updated],high,10/15/2025,Design DB *,Write REA,Review logs,Build charts,10/19/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
14,Amit,Design UI (copy),Reporting module [updated],medium,9/4/2025,Clean data *,Test filters,Refactor code,Build charts,9/9/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
95,Rohan,Design UI (copy),Improve performance [updated],low,9/2/2025,Review logs *,Design DB,Test filters,Deploy,9/3/2025,Neutral,Perform regular tasks; Moderate workload management
80,Raj,Create Report (copy),Improve performance [updated],medium,10/21/2025,Write REA *,Build charts,Improve UI,Test filters,10/22/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
24,Raj,Fix login bug (copy),Data analytics [updated],high,9/16/2025,Improve UI *,Design DB,Deploy,Refactor code,9/19/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
11,Raj,Enhance Security (copy),Module-level testing [updated],urgent,9/25/2025,Design DB *,Improve UI,Prepare PR,Clean data,9/29/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
89,Vikram,Bug Fixing (copy),Module-level testing [updated],low,9/7/2025,Refactor code *,Build charts,Improve UI,Review logs,9/10/2025,Neutral,Perform regular tasks; Moderate workload management
76,Vikram,Analyze Data (copy),Update backend APIs [updated],urgent,9/14/2025,Clean data *,Design DB,Refactor code,Test filters,9/15/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
78,Amit,Create Dashboard (copy),Minor bug fixes [updated],urgent,10/18/2025,Test filters *,Build charts,Review logs,Refactor code,10/20/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
41,Anjali,Optimize Query (copy),Module-level testing [updated],low,9/21/2025,Clean data *,Test filters,Build charts,Prepare PR,9/25/2025,Neutral,Perform regular tasks; Moderate workload management
77,Supriya,Optimize Query (copy),Frontend redesign [updated],low,10/16/2025,Improve UI *,Refactor code,Build charts,Review logs,10/18/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
23,Simran,Enhance Security (copy),Frontend redesign [updated],urgent,10/6/2025,Improve UI *,Write REA,Refactor code,Build charts,10/10/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
60,Raj,Analyze Data (copy),Module-level testing [updated],high,9/24/2025,Review logs *,Deploy,Clean data,Test filters,9/26/2025,Overwhelmed,No new tasks assigned; Reduce workload; HR notified
42,Vikram,Bug Fixing (copy),Critical issue [updated],high,9/28/2025,Refactor code *,Improve UI,Prepare PR,Design DB,10/3/2025,Neutral,Perform regular tasks; Moderate workload management
67,Karan,Fix login bug (copy),Build analytics dashboard [updated],medium,10/28/2025,Review logs *,Clean data,Write REA,Deploy,10/31/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
6,Rohan,Update API (copy),Module-level testing [updated],medium,10/14/2025,Improve UI *,Deploy,Write REA,Clean data,10/16/2025,Stressed,Fix only urgent issues; Avoid heavy tasks; Take a short break; HR alert if stress continues
59,Supriya,Create Report (copy),Reporting module [updated],medium,9/22/2025,Deploy *,Test filters,Prepare PR,Write REA,9/27/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
59,Supriya,Create Report (copy),Reporting module [updated],medium,9/22/2025,Deploy *,Test filters,Prepare PR,Write REA,9/27/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
36,Simran,Optimize Query (copy),Update backend APIs [updated],high,10/10/2025,Design DB *,Review logs,Improve UI,Clean data,10/12/2025,Happy,Creative tasks; Work on new ideas; Design & planning activities
15,Neha,Bug Fixing (copy),Critical issue [updated],low,9/6/2025,Improve UI *,Design DB,Prepare PR,Deploy,9/11/2025,Sad/Low,Assign light tasks; Provide peer support; Reduce deadlines
